-16799965799409916/6410147287704333 -34070253242148783/9020476171641260 -152269460259616/40248997946905 397721589234184264/955893244673475 -76592445/262737076 262737076/76592445
-643977585215638617/749130837388592408 -745036473542299/714980442959464 4788727290384741/116953468742678765 941021901570575/4366427900077016 -461179816/116435847 116435847/461179816
-1981471670293026944/1892118257862154059 47621930986924531/61332051925934633 1350560317759044875/1285815912947923131 44979429648689935/151934747518125298 -1869508713/1348296575 1348296575/1869508713
1411574819542545643/1816267155639751424 -27047921818543173/300406436639089408 -71100643093098579/522597057330004096 596275275136212061/830387225318045184 -965104384/346189973 346189973/965104384
958561599409029991/388740154662227037 991287228006135132/46339278087710141 487060394768861053/48758395282010780 447915995045476804/291682090454859793 612461557/1534282358 -1534282358/612461557
693471142456982327/3590187562346272190 -3672346152453311276/64816588928341605 443454569348472414/1245562794418425055 -304915568925832047/1702852000103226050 2144028295/516615786 -516615786/2144028295
-645895571407234793/274712062703498562 -883761171730211681/330422845327443858 -8313108536405345/131428854214655458 215947352406868665/73507319983075526 -250140126/634432445 634432445/250140126
-854337057900663145/563244040076015272 -74607423119261437/49691303563966454 118915277368344879/181902466079612317 -1920704061352656992/193608746751733937 -734314529/1657190398 1657190398/734314529
721328571048079377/149017235659946983 -349560599232438677/636468076935875422 -62379008563093475/58835657370550116 -62492181750738025/1044124919620025509 668054303/141290225 -141290225/668054303
-462451881035269061/166787814350609445 288497547766583830/146023005031536603 -48472578240201737/38827127176202058 412759085424597437/574620874740034887 -354825213/267801271 267801271/354825213
71142252201982015/12200118835477103 -131957738001319367/523454479978497582 46406085786981167/665103817537456919 61107707737227242/145716689776559959 990957466/271068967 -271068967/990957466
-34078110722608559/38755680208985537 -39855070016548871/41806128691738253 -51268523873937416/48794493150363905 38230036570078/2772737244911 -36146179/37478104 37478104/36146179
-163395032423643628/120151875210512565 -45633089810054437/40715715589123260 132817005393103709/194041624564554690 78947658695967743/886756788182211660 -463908270/587312269 587312269/463908270
38902142741891733/72340842125096950 -16371376046894287/32341270227112450 -274805978178024846/702550524528325 135321894986876703/137253644520816575 703882975/601446789 -601446789/703882975
-248734824614012745/144662249595848831 -19837826331066161/15742851448445643 213921321902522177/47536302357945312 29692676155784611/149080003572283210 -311355691/407702686 407702686/311355691
116838884888961983/59857321182516148 1059067464116748134/1385919540299365869 -378617424962617840/1994606175665654901 -27026794736655400/11398263777297639 929101737/1805181260 -1805181260/929101737
-4019824362528121/7418212597187785 -857643637119762872/262413933569344059 -217590300865613993/45718134510996730 1009797445720679/194434936737401 -195847187/340833551 340833551/195847187
-605436285816941231/344488435423042456 -780841469535680921/376195308346251464 -465267091398944195/69023769135907264 -761698477756920/3524353168275569 738902584/381693545 -381693545/738902584
333369383611082717/106077180356073726 3423902380103664859/1089062659850272590 1246920210192186388/488777688313173771 -73551857519484866/82783262053634729 507305658/1329400339 -1329400339/507305658
-851815347406567326/263432743387420685 -439758036730773519/1082797617293367040 -445451377674404544/505502010955217939 -70144866912279078/431113195409311415 2134337335/1548577284 -1548577284/2134337335
-137313463297047503/61025036753460032 -1453508944387972567/425323250189302080 950591484394763/12569146910848 -79916963926654939/63343552595214232 -352527296/638159461 638159461/352527296
430562261753655511/64176127789263570 -17792229520455903/55829929476355690 730864390378761127/863151177848290965 -3940064054352098/8383857180221119 1230610890/1051436857 -1051436857/1230610890
1217482689159187331/413960802656264580 42906458028516583/31951213385922390 200936186200591694/48085376696215455 -30691901028894537/37063283188578146 1867327170/664853089 -664853089/1867327170
-9454908964255175/3192806120061298 -1948038754189792249/362205507268075510 -16410643703140589/8337313315384846 16867262833876791/972937899646960 -388932466/1241795839 1241795839/388932466
-83749659222263944/43504415494119105 13253513130264901/50213913720257505 16068738279365421/28557038471301205 30772017011766186/72180065148249605 106305315/46935473 -46935473/106305315
-270639543617477246/989068542153390697 -921201298054736212/14333977781946033 891796026195686780/1114722045470150679 -244499830995910490/130232154906836277 -1027976051/426313370 426313370/1027976051
146367118753309723/165493749491351379 84556218863129924/2807833866500805 16921466796031337/14478250970294934 3319186164272917/2495475129197767 280469121/255654383 -255654383/280469121
2219034651592979261/1060148117522929239 -700902279158683961/642442522442696892 110717535790017025/486002480381449514 893650071430825/4836855530936597 1907849923/183972925 -183972925/1907849923
-56604154838575350/29037882319346449 -133626562638842088/17920309580350049 -94251895496584230/134044238307960959 -47644949715965575/39161909016727718 -67972609/53946170 53946170/67972609
-286643212981062741/646470205249969016 2021196322090183439/1185379581871025784 198335941410444745/671723148396462724 759853585710861105/1397807798662841848 940127368/614612897 -614612897/940127368
16017351016539308/612140127934059291 -1216709344735812891/859727234815947176 -12393069306976345/88166394837741283 10943514732184060/69549710836641007 827690507/134658030 -134658030/827690507
18117405702413924/12915966590618651 -22731822956137787/8529006363828979 426066453953252780/42301014479062941 -96150647795981530/178591683735407733 -166830097/287309965 287309965/166830097
-4935415174174485458/2583555158896987061 832723259857621121/383007068952962250 -644400080516189173/116300099972752070 -139093732809555733/559788459675580832 -1846455673/1180820509 1180820509/1846455673
728877455913671323/478962810236986889 531964161697471667/1191033571468940541 -1648293931036111733/80952108644746797 -541601323387918041/161815531741059136 608176739/927924037 -927924037/608176739
377048191275138371/2248391420561287716 1843665875470776821/1057053569146766412 106769020620432605/548885194117542516 -16851163717145035/280204909194206204 1310001108/203138855 -203138855/1310001108
-588776447842128805/395557017401514149 -92728241683026613/352784839738509225 -203553257601272755/128246422331694166 -687484433879021020/441874031912881969 -297046331/360991510 360991510/297046331
-66800607449365252/10936993683676171 -8245501919825188/73806356093504635 -4700800741078526/1297994152536793 1178223779302123/820123157797829 61344253/50303017 -50303017/61344253
48152615901958467/19154144789018372 -300591216666899265/215807466836712793 -305538082482255307/273076112743347074 1083983859150420339/1331628013266763016 -1429724702/634318329 634318329/1429724702
11190742666425021/10479237854904365 19590595883057014/1929153089976035 22533191844425768/12214980137326625 4121809530113077/9395360480091885 10062335/11566214 -11566214/10062335
6525204169462949/462931838107200 48431819947402673/3578154355286336 546994346634212523/42301873661789504 -564665944919312883/11000131599511936 28097216/352085871 -352085871/28097216
543985731634571/3582392633277198 -63151846366663/36409347019494 -9293632791645500/8829436803737979 94286604537375/135067208179702 -10288518/10652875 10652875/10288518
1862218982283120767/649553408863585590 1063509034068634462/635113883579956277 -47653914299763603/620062047623310935 22525304897817475/707614962713026 782574659/642417607 -642417607/782574659
-15236502531463255/7328353449433206 13196822292928687/3106579764538230 -998378189785567/463418476998124 -30536865001003617/14944611352967960 19613626/20496517 -20496517/19613626
-519730292057846949/235096274019259145 -257618583439626209/161685377219999895 746463172932937/1277965518215495 -82887616231709737/172144488352911135 -156309815/161510273 161510273/156309815
456755794935639907/42963955164521085 40036035158015890/125139069335597 2798592211670660427/279240284384464264 -1224694932716819748/215984083469465717 181879987/2110195533 -2110195533/181879987
495214136535405517/154919921448477603 764709888980977931/300204475849051818 -288424782905133811/68923432161619134 227397925487055601/81195802131981999 323913117/1170583156 -1170583156/323913117
-3713177612263977963/2934326436573972490 1472421214335332561/1296894530831764594 -510049229138252389/1128132093517466514 -458450277725602338/192184374808188359 -1700303194/1680563179 1680563179/1700303194
-243671635491746607/102694186415907520 81528426863672263/67567444839190170 94843652843543459/13209991216270690 30872027529867374/14705830909227245 -246279370/102547997 102547997/246279370
37153469137476858/41965460945342905 262368584835171969/12272755352138290 -124891014342396836/113139106235366177 -182128456948574923/749279436608117514 -455879266/149736289 149736289/455879266
143766025587920593/159498533254954390 -1814626522122636708/1600921454504813035 235543022056384001/215369009843732710 45107651045108968/387787421351724555 -2049070345/463015276 463015276/2049070345
59433729118185947/45364973767204806 603116975152107947/341207341898565494 -1799587847958869/1832389128513269 -405423372735588905/319329461637434952 271831934/341525791 -341525791/271831934
-708137839791365269/660966944071379680 -1079059090580485571/252823192576965152 95400805744149335/73428413812764544 -1087404699405098297/326202880527641088 -552955232/1092306577 1092306577/552955232
60231691119887573/46999546933089930 478324541633239527/202899843865726870 -598837473692657701/244032664431459380 -27159206805563111/29282862958988620 204521890/541542299 -541542299/204521890
575795715725672161/467835170321568866 134034357744849103/161055211065028444 -205756889396047136/4250738140527299 -64271723914543418/54949924713259269 228557447/346076122 -346076122/228557447
884295480893712703/111713702891507836 24080624537734188/14029774943993935 -126168159356261399/2746659603844588292 -6142215404474097/737977568373042130 -2097424532/59236567 59236567/2097424532
-3537657911899579703/3243191529627294721 1015216753636250933/202339062122843100 -16403399366713640/393163668575825189 -464317749834446652/1746014041640232679 -1858830239/1223024888 1223024888/1858830239
1337032184435165/9663035199624024 289009473373999074/157513287772131841 -705085301779023413/78271649918002894 295463971030851956/685391246083885115 336408773/343185781 -343185781/336408773
-21820410684315437/45717511257008500 -93182919371332801/895653320714280316 34343368011300952/5847755411070031 -107890531449930219/229273829326642516 580546276/655224357 -655224357/580546276
-1122180170125140719/1120307639975793335 -906427279822229955/172556751057668657 -162307172779356655/123698950366376533 -622395250332600960/1251227454308716867 -600084481/941452695 941452695/600084481
-134799926588414279/130218379468791961 -297919437503220379/251141409631039758 -443138055500237888/655846573024975497 -182760973059686434/478872791184987147 -971764851/982434488 982434488/971764851
-379269592309628462/471176864373419811 19988533185586412/771465260828751437 185381210139570907/204160600699787707 390279440475582729/249731850571558528 -386149363/188823769 188823769/386149363
458127509124993998/270617208645101331 3268849904825325172/1201381256413786159 1416708506771163328/935903949409093017 160123207287726784/96997069389276001 970565369/1508231024 -1508231024/970565369
-1647819682201713841/483264416941967694 -3113433515852261192/3005243039474002635 369495274706845219/1307272070073898005 1100644514130409004/1816655015675319567 -2138154909/1998108482 1998108482/2138154909
-158119611239725606/291342591575548171 80757458167252228/96776690638819791 -923052464297661908/437099138827438433 348659992923183836/1970171746468379967 947464829/590881762 -590881762/947464829
-267664134018193789/18941176801450785 2815850259050467/245746552746117206 68805852085358727/518333729946155032 633136522303157711/133748559757855238 766730839/888544941 -888544941/766730839
417330120685000641/140161887037676846 -57103884785602188/22787172276413735 1573303730296716425/3001340523252538494 -565382052908867475/677257156349875481 -1466033126/1971300025 1971300025/1466033126
361611619770996262/19555132102290103 232243501194233420/46245317231079591 42233474088760651/64609339805659736 6135879803629001/33065485928212741 353773963/463791877 -463791877/353773963
11643957060808783/9043411705120848 -3710550560121266/2138701317371553 -2892447422904112/3730612037779319 -8104497026980612/16733117261950771 26367847/8729768 -8729768/26367847
-1896811710950194239/1356354852403920592 -1842611913577216747/579760615642584002 -194635728800218409/1596667029815416584 68611613021776451/2184558731674001514 -1748283818/102824821 102824821/1748283818
28189624022611609/72288662215978280 26221513989367651/59020843103538520 35004721201400907/6357180512256160 -18736035842587891/45458639490032520 67900120/81073171 -81073171/67900120
-608524256253074213/332085729691344105 -4947083719946658301/3954280463476299855 978790105252086604/1174746000946315005 65223109595330828/349928064244869183 -2058301485/506464492 506464492/2058301485
-1303095274668222469/237082909620089571 4222503944141515012/3804891236661986535 27182720044650275/76949299766262176 -1034019058540779970/1668130846188847431 1787110959/1588372735 -1588372735/1787110959
26577309218085341/280471898566163804 -798030644374523005/409389475227380636 15174919407616511/3337029081153100 71430848668788459/80682513101822392 -332713916/277715481 277715481/332713916
570889924144122217/7777591225794390 -2505905505463694911/1021238040443450830 -22196979116545791/86361218478848170 61439298651707161/59597749289678600 -1023292270/328864359 328864359/1023292270
-792007704064035461/221156926853626820 -601356001862504337/923332813648654840 -162313556184880188/325277198372482855 -121812512037601572/436137048076389455 468775555/139212876 -139212876/468775555
-441240316921239712/555103523955303477 -94839651392447680/24052436321942061 -12568890227700491/66866495112063558 53476713072341479/801079183624980897 395652519/129561673 -129561673/395652519
41177633594400157/25392431842927645 14976761737135711/28745665357720485 -84892299052653183/129946369488509125 -113054230598493956/109355707957431365 89098085/53541641 -53541641/89098085
-461010475206551866/69871683092266833 -277962574123976921/83877364897401705 40282341720976375/6669298623465156 10867644718902775/58103959615188556 -175870689/1104457775 1104457775/175870689
-4085593605856424513/1196277101833774532 -82812593511401931/13218200671480948 690881365314331171/122874658332539828 3676718444803520731/806493408036183868 -724868716/1983640543 1983640543/724868716
-484891082700008771/274297275633233440 -1626332367206674271/1189154131286505090 22401750610722496/45751198863592523 -140119163208875976/921410482516950755 -1208023670/780191273 780191273/1208023670
-674747009680155/47216416288241126 580237000926994645/216583093254517016 -235284999180715371/105298326798775486 -479518967417823701/459179713370654030 429324362/1450519363 -1450519363/429324362
-1543490972720796709/459061186515691765 -727793128254472720/1376690591682003933 -1184562019139546380/3160923344848748957 511963260718136555/13310779811211496 -1594714987/692351810 692351810/1594714987
22306367435000101/18863487496532844 34390428051007657/62545264784573364 -24013919741068039/73647035709117552 -9052176842007419/1953434729049130944 2066953572/311696873 -311696873/2066953572
1611735945027/304556370349 1104281041602/75530817043 20507211840/2851700401 133659900288/37057834819 26162389/131425664 -131425664/26162389
2295951678608/41052371135655 37540692295904/10087497094557 -10847890534610/27400931901561 5854452022936/40424028725877 2001090477/1099634114 -1099634114/2001090477
29104948349447/12985876455020 12960767868626/3240291246745 259374646994/6795653711 46122308916794/18142542048267 617786701/1717712894 -1717712894/617786701
3078929610605/1266118566013 50015829089/71656006674 8580980827683/3541490450071 4450633495782/280946364965 391562878/1390533273 -1390533273/391562878
4183471886983/845990728228 1251997631135/775995343622 3978826594736/2709937589721 -1103572039213/1440137597558 116271403/123290363 -123290363/116271403
24809118879449/23459295659776 -15637419545347/43329116310439 43744778308/282712588985 8280261608300/60034505706463 1949741993/332407130 -332407130/1949741993
-40867184251985/6851395610643 -15139894901585/4091339723883 -11532287332170/3162880557083 -31996008214342/4626891852369 -211013447/1058979553 1058979553/211013447
-185729447397/275264147003 -647779375741/105254425998 36766160004/1307450555041 -8659973203/690217809991 216572893/9783438 -9783438/216572893
25062101231506/3380491666539 207831416691/47221466396 36594016569660/3399114216667 30362603681388/461074388437 166272769/1479442756 -1479442756/166272769
6877973368503/3180466840883 19892208691532/10856368274495 22162131192732/15803608784047 -6355798825116/3098195657243 685593197/1260071139 -1260071139/685593197
2563529017411/2763789966190 -8151311531178/7697259181403 -347365085971/164518390883 -7559500587937/2122376492874 -297501611/366805793 366805793/297501611
1369445492233/989493433503 585259961543/1367352411204 -917093985272/146845100009 -1099904528/3482017907 120069583/164324312 -164324312/120069583
1476017632930/2074105376697 41145885573130/6535542812061 1376162772410/3427789384863 16220930017/870679385534 -1361855139/523255807 523255807/1361855139
-13498282015919/5133608422390 -8645244718259/3438910205990 1205036117641/2487429038710 -2493520738070/866388940571 -510451270/993434557 993434557/510451270
-6622578860083/6898049649522 -9413051584429/7219712268054 22657164251807/16250728601628 -1441965737863/7109628702003 -520489674/765781061 765781061/520489674
-7346312371997/6600353166712 8386444700443/13855873534668 4383979964015/43226836612108 341541508911/16014071374060 2028381428/191985109 -191985109/2028381428
-2907038073487/1402544959764 2343335861281/3370434730143 1930636476169/4502348924970 1441281639275/3771278487561 816382398/453946973 -453946973/816382398
2828803517731/609235715696 -1483006100209/107230150960 -1078534871579/290039740648 -243871458651/1694301176800 64791632/202719417 -202719417/64791632
7712713292383/11240781362680 1431770456421/474197615560 5636068663145/12185416436496 3142571477287/2713580187720 2088976280/1195348603 -1195348603/2088976280
19644823901529/15793349216546 -22757613099385/13349830599907 -8096965251650/8063781952607 -14022512308189/52892884835677 1705176983/894692293 -894692293/1705176983
-15240036156071/9901550942876 -12645623921611/4179883830436 -298410299747/134909909446 3292297241471/5143924331460 -309781652/698853161 698853161/309781652
147046210435/80810139123 5839942048793/1040082491345 -224281337758/319893020725 1148287292629/1961436961795 156426905/118416757 -118416757/156426905
-21570736559028/7057579230817 -1832704159553/127391123007 27849971034710/8187724444073 -15012817725560/8246563045549 -277540573/1047503330 1047503330/277540573
79685182233117/25495968999557 23498712736641/29651100697603 -2649804148/3370847781 -1796397474000/3742764652837 1123615927/2121729300 -2121729300/1123615927
-53439231545/8914633162 9652752744410/1701383958477 80503986115/135292667988 470846843160/152859739219 262195093/811804902 -811804902/262195093
11712226636639/20553522424344 -713497994379/5483458788808 -8859653486105/33255278949256 1214374434925/805750165337 1799625464/2111955539 -2111955539/1799625464
-1003150725970/385034193389 56462315346325/10497534507223 2513192533696/595514713809 -4007679664512/378502039307 362897449/1591727192 -1591727192/362897449
-2177020522825/605155142256 64568229325/11710059984 -786793143721/223912592064 41882183759/3937197432 -22562736/89683477 89683477/22562736
1492232842169/331670486772 12211294010769/4090022319380 21286749983091/1362736241035 13468602883473/1911167754595 362719255/2126229834 -2126229834/362719255
958889359940/276233249053 13011869257281/9997839916148 43703681086017/24030622575416 -333245677817/577183862592 1336073756/2078455371 -2078455371/1336073756
35868530873213/54442625502268 8841089072224/34576213829357 2942924215/47875678296 15721941992020/57991410155959 1994819929/840835490 -840835490/1994819929
-60537629739686/34019154712467 12795582135155/25356731467707 -25314085426195/39180714640353 -6631790047325/11695069025292 -1196467299/944027053 944027053/1196467299
18760792996153/346425780066 16673151189317/305737745505 -6084263005284/49707820541 844792778628/3354920395 10999739/598295169 -598295169/10999739
-5121370179773/5511478024650 -2291533032878/1525311731775 -8188389153859/1865806667400 9711448815713/3374753526300 -211159650/310955423 310955423/211159650
-2921795255819/7930939911498 579805429157/5460733312158 21055769133309/4069709170402 19980920270549/13430215454284 875959787/866813599 -866813599/875959787
10151447740113/5395983387662 20747213285857/11331841795715 -25375635079048/9545861907631 -4651737422594/1071795444069 345852031/866891059 -866891059/345852031
5677714101500/642900844573 2589537866976/303756243947 4041192270515/152409812867 50059574275/4571210079 24729809/213019465 -213019465/24729809
-1473136825134/1304003465471 1863353077230/692775837091 -3362506345800/3300782768033 -502513977672/1346082955465 153574781/109527894 -109527894/153574781
10464498743071/4090970497229 -31870957864577/12508307688030 -177464203264/442878931495 -2236591737280/1835474916583 -1538537231/943958528 943958528/1538537231
2379993435761/1909771153060 5421780820337/3819542306120 -11074278056139/8484428194820 217506808239/786564951680 1068702380/1114149843 -1114149843/1068702380
-11963861578227/941932085963 -1037600243158/136258925019 -25227043142455/411609790936 14206105076845/116336426257 -91387609/1182757895 1182757895/91387609
23637001090481/33084125176872 10211579547523/6300236284760 490051205433/6077212425812 9002601847663/38559849013400 1501844168/539110237 -539110237/1501844168
-6531837041149/3115016834925 -2426218180567/2409324631275 -187010741351/1231977359950 -481417747418/710374782675 -275445825/133245986 133245986/275445825
928757381273/149170006452 -18257207413243/4385536100196 12533851370495/4301560061184 16666726623157/2505776705676 -155223732/679525691 679525691/155223732
-1390472287869/1169418631513 -7566057593653/1104702831320 -9234342440300/2820702042807 5024364750282/1359856209151 -412202549/630330542 630330542/412202549
1444167279968/14850515862963 -2088782329379/9254240428719 1052920855948/17281487056295 1449027663577/4326188140146 1644029211/840991099 -840991099/1644029211
-1843112312893/3922602740504 13876676262571/12284752967256 41000760545575/13824207917632 6253768174825/6780429353768 1625612408/1726129775 -1726129775/1625612408
8585761977211/2235565715588 76359588353/33742300792 8685503382871/1877122913732 -1602392423261/1099943690572 276576236/993423697 -993423697/276576236
18734550399793/7886397396437 7550426906949/4977549947854 -5742955839670/6655523270331 -12211309503880/2473331132947 772192049/535348948 -535348948/772192049
18586644135113/4638404313457 19535012075399/7302584448189 4704285501888/2295763160503 548637947860/467836072313 314617399/569802023 -569802023/314617399
1470756986054/719653318329 35654447813608/30471126401529 -1015351337525/9495150984 45376895596/7868710746699 1186893873/86597129 -86597129/1186893873
7560872542559/1158855488011 6518453153908/4090343437999 2100213014688/1803400884181 528715379107/163125686685 265245019/254756552 -254756552/265245019
-1319107329095/343187601738 -544539082919/7440873438 -2390419397559/10556361097 773137358268/896927723809 -60494906/240702789 240702789/60494906
7526636913633/476438195732 1141008515572/77538805735 536207992522/155670386557 -5780041177033/419531787380 76487108/1170759809 -1170759809/76487108
-25800577449541/20952191171576 2010018137437/3411269331600 2676811375205/30916596357624 -105947684271/663010808552 -1749368888/238298885 238298885/1749368888
765301189567/407989095491 -14766369329994/12431103358583 968004099528/2916231127121 1668711461187/1608655772927 -456874687/161119191 161119191/456874687
-3869280337219/6979166471657 21065686820515/9580076650641 343696950152/21987866987253 9712210591392/17603574099337 862370749/326088188 -326088188/862370749
1548305909225/2018412537297 5045586475784/1935037979277 2402935318916/1037371904595 -308438135371/400518549873 106890459/123696866 -123696866/106890459
-624342916601/253236497724 -170519139839/46441777284 163707938447/50431043628 -54201347119/88857426420 -69627852/110389709 110389709/69627852
-653143258036/531639703425 -648295975858/457520481525 -2775203346923/3747540170700 -280074519823/54605177435 -150648825/147640759 147640759/150648825
1176562669877/1563759489631 21816008957191/27620489506943 -64853063186454/40692045273233 -59029245811458/16698309091145 1270316401/2120836626 -2120836626/1270316401
3647959451606/407946409811 5552072128163/4549320436242 -3970182024760/2627287870687 -5530631066320/3770385254439 235398967/587739752 -587739752/235398967
-196146930443/171454175049 7246070625393/5887095405355 -313506687219/841372245055 -1286054577401/1822066696775 418385005/183016163 -183016163/418385005
7331328802903/8135806292055 -20137720745942/19492144768655 -3342523805547/53409626234120 -10929478903011/1419542309575 1741769705/911017663 -911017663/1741769705
32686234130036/8760342580835 -2580036648529/270313025085 -1625221018683/289701814123 3463052713146/655115065195 297374065/1250651034 -1250651034/297374065
12098209655057/35278642002474 -15362316607355/7450070929016 6867999123155/40601893882134 -1264144207823/3391246477182 -1240851254/243451105 243451105/1240851254
-9298532015029/2223458839986 -1675075296949/379446020934 -9053135913961/1241987571000 -256933740463/18441633630 -75271974/321569137 321569137/75271974
1624217275501/3290079445120 545953209239/368302985830 -34653264471/117765949580 -662759208664/1149626432825 -704212210/372615747 372615747/704212210
22219562035078/2683045792647 -2706822119417/855660325410 -869289801181/9680822315307 452040892067/3530799025941 847188441/127443161 -127443161/847188441
-13137916286265/12809562429041 1942732638777/2593414099501 14422678256925/7063799348198 4175263960326/5415433659481 1093806031/1229030955 -1229030955/1093806031
716627870371/158828698345 335324763287/171239895365 -20006689824/545986135 1322410161861/68221633405 13316735/46503153 -46503153/13316735
23875015558383/932171128312 -5593138091767/12420488078474 -6255492091051/3566016036649 14538689525304/13831435219471 -1153677139/2110727283 2110727283/1153677139
-2668110440670/849162386249 1232457101241/709872591815 8178396799104/1075310896033 -13974795728448/2152674816247 -157924937/612338784 612338784/157924937
1199565923695/3196434006056 -5052876766831/1863839609700 -242803766865/278251902388 -9819877403347/7958493284260 407396636/558169579 -558169579/407396636
7813096568521/19873272233115 10282787053493/24505306329542 2455585791400/1435486604963 -21921887622860/3582095982759 778885841/746378660 -746378660/778885841
345211075669/11059988494124 1026818256057/2229608987924 1362190596711/7672288838188 -108288507541/876854211470 -494699132/200410563 200410563/494699132
-7436774462147/13618929069480 -10413772254691/5196324366515 10002900142774/14998123108755 749605944087/1191928323962 -544060765/582444401 582444401/544060765
-1007448573041/112265580460 -119904643591/5715871590 -727067980614/956382565655 -1001663991641/141284620840 -146560810/1111724741 1111724741/146560810
-9319424764594/1039035916651 -27418236724703/2855233032862 -394279311440/37070112433 -554252859160/71637098303 -119196503/1247719340 1247719340/119196503
16319094534799/13752438845675 34173571283/51610983311 21176670957352/22601834276805 -22175570530812/36886747413713 1258804471/1203493462 -1203493462/1258804471
283301900705/33953916633 33258893129068/2834343612269 3572372410255/35943889769 2813838289400/325982474341 124373321/1299694360 -1299694360/124373321
24673067639191/7567351296330 11049709320977/6474747903054 9228207455/3929741207538 -2094803092285/5931747123012 1650458298/1845641491 -1845641491/1650458298
-2694242930552/2194348364715 24867615375601/28855986049065 -531241574104/8763157649265 41578194034958/17650370210715 -2033687085/1494650731 1494650731/2033687085
-2421578146571/258644936880 -4232921670751/398480298480 -290270303921/73138437504 -4425305005067/85238992080 -25241040/250881853 250881853/25241040
1261662419683/11087618767632 -248673290431/12404735170992 5783138200525/12287093616864 -19409707303/946734411792 390835728/318191923 -318191923/390835728
-20729541430103/17536521991413 -10322824479791/5958683452812 496946699954/1112592181807 3527300034740/6933153499233 -787768833/300451451 300451451/787768833
2365440568978/1200028908365 1753933347589/548869143655 -3575446111408/1543532280073 5697951876893/4639588759120 301742245/830726327 -830726327/301742245
-34534119165937/8473639228770 -18994780549804/5080882731775 61041803182332/356958536237 31548618845398/4848883260403 -471543641/1917382937 1917382937/471543641
-16561080607311/13997568954082 -764682136628/13278548806705 -29966147895/1183889996576 -7656496245/24245616736943 -1608546191/8259435 8259435/1608546191
-452326879777/1546796344400 -3834174297493/5255650327475 11703877882871/9725738107525 6824198593633/13282857515425 -1280460550/1934845079 1934845079/1280460550
11337538713673/2609915485002 39771771319/952667866646 -334099453527/451738990894 672254269235/268999756808 356448441/311950937 -311950937/356448441
27954209477515/20242193218611 -2059567117809/1110080599901 38572194040/5058151486141 -807659321640/4679061240217 1100178989/78558440 -78558440/1100178989
-83563179426879/53085863621329 287446211499/1623895050365 -37115578373536/4750913056897 18444367631866/3011142078315 -1632055327/1444860572 1444860572/1632055327
76283435880637/32484232575636 1181697525990/1044794767441 3036568623517/1500275801686 7243914295365/24139370170456 1124644529/1433019643 -1433019643/1124644529
